All,Все
"Display on Shopping Cart","Показать в корзине"
"Skip Order Review","Пропустить обзор заказа"
"3D Secure Verification Settings","Настройки проверки 3D Secure"
"3D Secure Verification","Верификация 3D Secure"
"Threshold Amount","Пороговая сумма"
"Verify for Applicable Countries","Верификация допустимых стран"
"Verify for Specific Countries","Верификация определенных стран"
"Dynamic Descriptors","Динамические дескрипторы"
Phone,"Номер телефона"
"CVV is required.","Требуется CVV."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV должны быть 4 цифры для American Express и 3 цифры для других типов карт."
"Expiration date is required.","Дата истечения срока обязателен."
"Expiration date is invalid.","Дата истечения срока недействительна."
"Expiration year is invalid. It must be between 1975 and 2201.","Год истечения срока действия является недопустимым. Дата должна быть между 1975 и 2201."
"Expiration month is invalid.","Месяц истечения срока недействителен."
"Expiration year is invalid.","Год истечения срока недействителен."
"Credit card number is required.","Требуется номер кредитной карты."
"Credit card number is invalid.","Номер кредитной карты недействителен."
"Credit card number must be 12-19 digits.","Номер кредитной карты должен быть из 12-19 цифр."
"Cardholder name is too long.","Имя держателя карты слишком длинное."
"CVV verification failed.","Не удалось выполнить проверку CVV."
"Postal code verification failed.","Сбой проверки почтового индекса."
"Credit card number is prohibited.","Номер кредитной карты, не допустим."
"Addresses must have at least one field filled in.","Адреса должны иметь по крайней мере одно заполненное поле."
"Company is too long.","Компания слишком длинная."
"Extended address is too long.","Расширенный адрес слишком длинный."
"First name is too long.","Имя слишком длинное."
"Last name is too long.","Фамилия слишком длинная."
"Locality is too long.","Местоположение слишком длинное."
"Postal code is required.","Почтовый индекс обязателен."
"Postal code may contain no more than 9 letter or number characters.","Почтовый индекс может содержать не более 9 букв или цифр."
"Region is too long.","Регион слишком длинный."
"Street address is required.","Требуется адрес улицы."
"Street address is too long.","Адрес улицы слишком длинный."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Почтовый индекс может содержать только буквы, цифры, пробелы и дефисы."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","Кодов штатов США должен иметь два символа для удовлетворения требований защиты PayPal."
"Incomplete PayPal account information.","Неполные сведения учетной записи PayPal."
"Invalid PayPal account information.","Неверные сведения учетной записи PayPal."
"PayPal Accounts are not accepted by this merchant account.","PayPal счета не принимаются этим торговым счетом."
"Billing address format is invalid.","Формат платежного адреса недействителен."
"Country name is not an accepted country.","Название страны не является допустимой."
"Country code is not accepted. Please contact the store administrator.","Код страны не распознан. Пожалуйста, свяжитесь с администратором магазина."
"Provided country information is inconsistent.","Информация представленная о стране несовместима."
"Customer has already reached the maximum of 50 addresses.","Клиент достиг максимума 50 адресов."
"Address is invalid. Please contact the store administrator.","Недопустимый адрес. Пожалуйста, свяжитесь с администратором магазина."
"Error communicating with PayPal.","Ошибка соединения с PayPal."
"PayPal authentication expired.","Срок аутентификации истек."
"Error executing PayPal order.","Ошибка при выполнении PayPal заказа."
"Error executing PayPal billing agreement.","Ошибка при выставлении счета PayPal."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Применяйте фильтры для того, чтобы получить результаты. Будут отображены только первые 100 записей в таблице. Также вы сможете скачать полную версию отчета в формате CSV."
Select...,Выберите...
"Transaction Type","Тип транзакции"
"Payment Type","Тип платежа"
"PayPal Payment ID","Идентификатор оплаты PayPal"
"Created At","Создано в"
"Transaction ID","ID транзакции"
"Order ID","ID заказа"
Amount,Количество
"Settlement Code","Расчетный код"
"Settlement Response Text","Текстовый ответ расчета"
"Refund Ids","Идентификаторы возврата"
"Settlement Batch ID","Расчет пакетного ID"
Month,Месяц
Year,Год
"Stored Card","Сохраненные карты"
"Credit card successfully added","Кредитная карточка успешно добавлена"
"Something went wrong while saving the card.","Что-то пошло не так при сохранении карты."
"Credit card does not exist","Кредитная карточка не существует"
"Delete Credit Card","Удалить кредитную карточку"
"There was error deleting the credit card","Ошибка при удалении кредитной карточки"
"Credit card successfully deleted","Кредитная карточка успешно удалена"
"Edit Credit Card","Изменение кредитной карточки"
"My Credit Cards","Мои кредитные карточки"
"New Credit Card","Новая кредитная карточка"
"There was error during saving card data","Возникла ошибка при сохранении данных карточки"
"We can't place the order.","Мы не можем разместить заказ."
"Incorrect payment method.","Неверный метод оплаты."
"We can't initialize checkout review.","Мы не можем инициализировать проверку заказа."
"We can't update shipping method.","Мы не можем обновить способ доставки."
"The processor declined your transaction, please re-enter your payment information","Процессор отклонил транзакцию, пожалуйста, повторно введите платежную информацию"
"Transaction declined by gateway: Check card details or try another card","Транзакция отклонена шлюзом: проверьте данные карты или попробуйте другую карту"
"Transaction declined: ","Операция отменена: "
"The processor responded with an unknown error","Сервер ответил неизвестной ошибкой"
"Credit card type is not allowed for your country.","Тип кредитной карточки не доступен для вашей страны."
"Credit card type is not allowed for this payment method.","Тип кредитной карты не допускается для данного метода оплаты."
"Selected payment type is not allowed for billing country.","Тип выбранного платежа не допускается для выставления счетов страны."
"Incomplete payment information.","Неполная платежная информация."
"Please try again later","Повторите попытку позже"
"Can not find original authorization transaction for partial capture","Невозможно найти оригинальную транзакцию авторизации для частичного захвата"
"There was an error capturing the transaction: %1.","Произошла ошибка при захвате транзакции: %1."
"This refund is for a partial amount but the Transaction has not settled.","Это возмещение за частичную сумму, но транзакция не была оплачена."
"Please wait 24 hours before trying to issue a partial refund.","Пожалуйста, подождите 24 часа перед тем, как попытаться получить частичное возмещение."
"There was an error refunding the transaction: %1.","Произошла ошибка при возмещении транзакции: %1."
"Some transactions are already settled or voided and cannot be voided.","Некоторые транзакции уже выполнены или аннулированы и не могут быть аннулированы."
"Voided capture.","Аннулированные записи."
"There was an error voiding the transaction: %1.","При отмене транзакции произошла ошибка: %1."
Invoice,Счет
Shipment,Доставка
"Invalid Customer ID provided","Указан неверный ID клиента"
"some error","некоторая ошибка"
"Something went wrong while processing.","Что-то пошло не так во время обработки."
error,ошибка
exception,исключение
"Payment Information","Платежная информация"
"Add new card","Добавить новую карту"
"Save this card for future use","Сохранить эту карту для использования в будущем"
or,или
"Please confirm that you want to delete this credit card","Подтвердите, что вы хотите удалить эту кредитную карту"
"Cardholder Name","Имя владельца карты"
"* Required Fields","* Обязательные поля"
"Card Verification Number Visual Reference","Визуальная ссылка на верификации номер карты"
"Make Default","Сделать по умолчанию"
"Billing Address","Адрес для выставления счета"
Company,Компания
Address,Адрес
State/Province,Область
"Please select region, state or province","Пожалуйста, выберите область"
"Zip/Postal Code","Почтовый индекс"
"Card Number","Номер карты"
"Is Default","По умолчанию"
"An error occured with payment processing.","Произошла ошибка при обработке платежа."
"Can not initialize PayPal (Braintree)","Невозможно инициализировать PayPal (Braintree)"
"Capture action","Захват действий"
"Use Vault","Использовать Vault"
"Allow Duplicate Cards","Разрешить повторяющиеся карты"
"Enable Credit Card auto-detection on Storefront","Включить автоопределение кредитной карты на витрине"
"Your Kount ID","Ваш Kount ID"
"Use Cache","Использование кэша"
"Edit My Credit Cards","Редактировать мои кредитные карты"
"Pay with PayPal","Оплатить через PayPal"
"Transaction is cancelled offline.","Транзакция отменена в автономном режиме."
"Braintree Settlement","Расчет Braintree"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","Если вы не укажете учетную запись продавца, которая будет использоваться для обработки транзакции, Braintree обработает ее, используя вашу учетную запись продавца по умолчанию."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Обязательно включите защиту от мошенничества в учетной записи Braintree в разделе Настройки/Обработки"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Используется для прямой интеграции инструментов мошенничества. Не забудьте также связаться с <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a>, чтобы настроить свою учетную запись Kount."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Обязательно Включите AVS и/или CVV в вашем аккаунте Braintree в разделе Настройки/Обработка."
"It is recommended to set this value to ""PayPal"" per store views.","Рекомендуется установить значение ""PayPal"" в магазине просмотров."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Эту функцию необходимо включить для учетной записи продавца через службу тех. поддержки PayPal."
"Also affects mini-shopping cart.","Также влияет на мини-корзину."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Динамические дескрипторы отправляются для каждой транзакции и определяют, что будет отображаться в выписках по кредитным картам ваших клиентов для конкретной покупки.
                             Чем понятнее описание вашего продукта, тем меньше вероятность того, что клиенты начнут производить возвратные платежи из-за путаницы или непризнания.
                             Динамические дескрипторы не включены по умолчанию для всех учетных записей. Если вы получили ошибку проверки 92203 или ваши динамические дескрипторы не отображаются должным образом,
                             <a href=""mailto:support@getbraintree.com""> обратитесь в службу поддержки Braintree </a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","Значение в поле бизнес-имени выписки клиента. Название компании / раздел администратора должен быть 3, 7 или 12 символов
                                 и дескриптор продукта может иметь длину до 18, 14 или 9 символов соответственно (с * между ними для общего имени дескриптора 22 символа)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","Значение в поле номера телефона в выписке клиента. Телефон должен состоять из 10–14 символов и содержать только цифры, дефисы, круглые скобки и точки."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","Значение в поле URL/web адреса для заявления клиента. URL должен быть 13 символов или короче."
"The Payment Token is not available to perform the request.","Платёжный знак не доступен для выполнения запроса."
"Checkout failed to initialize. Verify and try again.","Не удалось инициализировать заказ. Проверьте и повторите попытку."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","Заказ не выполнен. Сначала согласитесь с правилами и условиями, а затем попробуйте снова."
"Paypal account","Аккаунт PayPal"
"Coinbase account","Аккаунт Coinbase"
"Europe bank account","Аккаунт Europe bank"
"Credit card","Оплата банковской картой"
"Apple pay card","платежная карточка Apple"
"Android pay card","платежная карточка Android"
"Authorization expired","Истек срок действия авторизации"
Authorizing,Авторизация
Authorized,Авторизовано
"Gateway rejected","Шлюз отклонен"
Failed,Ошибка
"Processor declined","отказ процессором"
Settled,Стабильный
Settling,Стабилизация
"Submitted for settlement","Отправлено для стабилизации"
Voided,Аннулирован
Unrecognized,Нераспознан
"Settlement declined","Стабилизация снизилась"
"Settlement pending","Стабилизация в ожидании"
"Settlement confirmed","Стабилизация подтверждена"
Sale,Продажа
Credit,Кредит
"Vault enabled","Vault включен"
"Percent Discount","Процент скидки"
"-- Select --","-- Выберите --"
Dynamic,Динамический
Fixed,Исправлено
"Create New Option","Создать новую опцию"
"Bundle Items","Элементы комплекта"
"Add Products to Option","Добавить товар для опции"
"Delete Option","Удалить опцию"
"What are you looking for?","Что вы ищете?"
"There is no defined renderer for ""%1"" option type.","Нет определенного модуля подготовки отчетов для типа опции «%1»."
"Only implemented for bundle product","Работает только для комплекта товара"
"Product with specified sku: ""%1"" is not a bundle product","Товар с указанным sku: «%1»-не является товаром даного комплекта"
"Bundle product could not contain another composite product","Товар комплекта не может содержать другой составной товар"
"Id field of product link is required","требуется Id поле ссылки товара"
"Can not find product link with id ""%1""","Не могу найти ссылку товара с идентификатором «%1»"
"Could not save child: ""%1""","Не удалось сохранить потомка: «%1»"
"Product with specified sku: ""%1"" does not contain option: ""%2""","Товар с указанным sku: «%1» не содержит параметр: «%2»"
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Потомок с указанной sku: «%1» уже назначен к товару: «%2»"
"Product with specified sku: %1 is not a bundle product","Товар с указанным sku: «%1»-не является товаром даного комплекта"
"Requested bundle option product doesn't exist","Запрошенный продукт с опцией комплекта не существует"
"%fieldName is a required field.","%fieldName является обязательным полем."
"Requested option doesn't exist","Запрошенный параметр не существует"
"Cannot delete option with id %1","Не удается удалить опцию с идентификатором %1"
"Could not save option","Не удалось сохранить опцию"
"Price Range","Диапазон цен"
"As Low as","Так же низко как"
Together,Вместе
Separately,Отдельно
"Please specify product option(s).","Пожалуйста, укажите вариант(ы) товара."
"The options you selected are not available.","Выбранные параметры недоступны."
"The required options you selected are not available.","Необходимые параметры, выбранные вами недоступны."
"Please select all required options.","Пожалуйста, выберите все необходимые параметры."
"We can't add this item to your shopping cart right now.","Мы не может добавить этот элемент в корзину прямо сейчас."
N/A,Н/Д
Percent,Процент
"We can't save custom-defined options for bundles with dynamic pricing.","Мы не можем сохранить пользовательские параметры для связки с динамической калькуляцией цены."
"Add Selected Products","Добавить Выбранные Продукты"
"Add Option","Добавить параметр"
"New Option","Новый параметр"
"Option Title","Название параметра"
"Default Title","Заголовок по умолчанию"
"Store View Title","Название представления магазина "
"Input Type","Тип ввода"
Drop-down,"Раскрывающийся список"
"Radio Buttons",Радио-кнопки
Checkbox,Кнопка-флажок
"Multiple Select","Множественный выбор"
Required,Необходимо
"Default Quantity","Количество по умолчанию"
"User Defined","Определяемые пользователем"
"Price Type","Тип цены"
Quantity:,Количество:
"Choose a selection...","Выберете выбранное"
"Ship Bundle Items","Вставить комплект товара"
"There are no products in this option.","В этом варианте нет товаров."
Default,"По умолчанию"
Ordered,Заказано
Invoiced,"Выставлен счет"
Shipped,Отправлено
Refunded,Возвращено
Canceled,Отменен
"As low as","Так же низко как"
"Regular Price","Обычная цена"
"Buy %1 with %2 discount each","Купить %1 с %2 со скидкой"
"Go back to product details","Вернуться к информации о товаре"
"Customize and Add to Cart","Настроить и добавить в корзину"
"Your Customization","Ваши настройки"
Availability,Наличие
"In stock","В наличии"
"Out of stock","Нет в наличии"
Availability:,Наличие:
"Customize %1","Настройка %1"
"No options of this product are available.","Нет доступных опций для этого продукта."
"Gift Message","Подарочное сообщение"
From:,От:
To:,Кому:
Message:,Сообщение:
"Product Name","Название товара"
"Discount Amount","Сумма скидки"
"Row Total","Всего строк"
"Qty Invoiced","Кол-во выставленных счетов"
"Qty Shipped","Кол-во отправки"
"Add Products to New Option","Добавить товары новому варианту"
"Add Products to Option ""%1""","Добавить товары в вариант «%1»"
"Special Price","Специальная цена"
"This is implemented for bundle products only.","Это реализовано только для комплектных продуктов."
"The product with the ""%1"" SKU isn't a bundle product.","Продукт с артикулом ""%1"" не входит в комплект."
"The bundle product can't contain another composite product.","Комплект продукта не может содержать другой состав продукта."
"The product link needs an ID field entered. Enter and try again.","Ссылка на продукт должна быть введена в поле ID. Войдите и повторите попытку."
"The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.","Ссылка на продукт с ""%1"" ID не был найден. Проверьте ID и повторите попытку."
"The bundle product doesn't exist. Review your request and try again.","Комплект продукта не существует. Пересмотрите запрос и повторите попытку."
"The option that was requested doesn't exist. Verify the entity and try again.","Запрошенный продукт не существует. Проверьте ввод продукта и повторите попытку."
"The option couldn't be saved.","Параметр не может быть сохранен."
"""%fieldName"" is required. Enter and try again.","Необходим ""%fieldName"". Введите и попробуйте снова."
"The option with ""%1"" ID can't be deleted.","Параметр с «%1» ID не может быть удален."
"""option_id"" and ""parent_id"" values should be specified","Должны быть указаны значения ""option_id"" и ""parent_id"""
"""sku"" value should be specified","Должно быть указано значение ""sku"""
"Unique constraint violation found","Обнаружено уникальное нарушение ограничения"
Always,Всегда
"After number of attempts to login","После нескольких попыток авторизоваться"
"Provided form does not exist","При условии, если форма не существует"
"Incorrect CAPTCHA","Некорректная CAPTCHA"
"Incorrect CAPTCHA.","Некорректная CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","Учетная запись заблокирована. Пожалуйста, подождите и повторите попытку или свяжитесь с %1."
"Please enter the letters and numbers from the image","Пожалуйста, введите буквы и числа с картинки"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Внимание</strong>: Captcha чувствительна к регистру в полях ввода данных."
"Reload captcha","Обновить captcha"
"Please type the letters and numbers below","Пожалуйста, введите буквы и числа ниже"
"Attention: Captcha is case sensitive.","Внимание: Captcha чувствительна к регистру."
"Enable CAPTCHA in Admin","Включить CAPTCHA в админ-панели"
Font,Шрифт
Forms,Формы
"Displaying Mode","Режим отображения"
"Number of Unsuccessful Attempts to Login","Число неудачных попыток входа в систему"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Если указано значение 0, CAPTCHA в форме авторизации будет всегда доступна."
"CAPTCHA Timeout (minutes)","CAPTCHA время ожидания (в минутах)"
"Number of Symbols","Количество символов"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Пожалуйста, укажите 8 символов. Допустим диапазон значений (например, 3-5)"
"Symbols Used in CAPTCHA","Символы, используемые в CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Пожалуйста, используйте только буквы (a-z или A-Z) и цифры (0-9) в этой области. Не пробелы или другие символы разрешены.<br />аналогичных перспективных символы (например «i», «l», «1») уменьшить вероятность правильного распознавания заказчиком."
"Case Sensitive","С учётом регистра"
"Enable CAPTCHA on Storefront","Включить CAPTCHA в фронтэнде"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA для форм «Создать пользователя» и «Забыли пароль» всегда включена."
"Please enter the letters from the image","Пожалуйста, введите буквы с картинки"
"Please type the letters below","Пожалуйста, введите буквы ниже"
Root,Корень
"Use Config Settings","Использовать Настройки Конфигурации"
"Use All Available Attributes","Используйте Все Доступные Функции"
"Add Subcategory","Добавить подкатегорию"
"Add Root Category","Добавить корневую категорию"
Day,День
"<label class=""label""><span>from</span></label>","<label class=""label""><span>от</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>для</span></label>"
[GLOBAL],[ГЛОБАЛЬНО]
[WEBSITE],[САЙТ]
"[STORE VIEW]","[Представление магазина]"
"WYSIWYG Editor","WYSIWYG редактор"
"Add Product","Добавить товар"
"Product Attributes","Атрибуты товара"
"Add New Attribute","Добавить новый атрибут"
"Save Attribute","Сохранить атрибут"
"Save in New Attribute Set","Сохранить в новом наборе атрибутов"
"Enter Name for New Attribute Set","Введите имя для нового набора атрибутов"
"Delete Attribute","Удалить атрибут"
"Edit Product Attribute ""%1""","Редактировать атрибут продукта ""%1"""
"New Product Attribute","Новый атрибут продукта"
"Advanced Attribute Properties","Расширенные свойства атрибута"
"Attribute Code","Код атрибута"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Используется внутри. Убедитесь, что вы не используете пробелы или более %1 символов."
"Default Value","Значение по умолчанию"
"Unique Value","Уникальное значение"
"Unique Value (not shared with other products)","Уникальное значение (не совместно с другими товарами)"
"Not shared with other products.","Не совместно с другими товарами."
"Input Validation for Store Owner","Проверка ввода для владельца магазина"
"Add to Column Options","Добавить в параметры столбца"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Выберите ""Да"", чтобы добавить этот атрибут в список параметров столбца в сетке товара."
"Use in Filter Options","Использование в параметрах фильтра"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Выберите ""Да"", чтобы добавить этот атрибут в список параметров фильтра в сетке товара."
Website,Веб-сайт
Global,Глобальнo
Scope,"Область видимости"
"Declare attribute value saving scope.","Объявление атрибута значение экономии масштабов."
"Storefront Properties","Свойства витрины"
"Use in Search","Использовать в поиске по сайту"
"Visible in Advanced Search","Видимый в расширенном поиске"
"Comparable on Storefront","Сопоставимый на витрине"
"Use for Promo Rule Conditions","Использование условий правила Promo"
"Enable WYSIWYG","Включить визуальный редактор"
"Allow HTML Tags on Storefront","Разрешить HTML-теги на Витрине"
"Visible on Catalog Pages on Storefront","Отображается на Страницах Каталога на Витрине"
"Used in Product Listing","Использовалось в Товарном Списке"
"Depends on design theme.","Зависит от темы дизайна."
"Used for Sorting in Product Listing","Используется для Сортировки Товарного Списка"
"Media Image","Медиа Изображение"
Gallery,Галерея
"System Properties","Свойства системы"
"Data Type for Saving in Database","Тип данных для сохранения в базе данных"
Text,Текст
Static,Статический
Decimal,"Десятичное число"
Integer,"Целое число"
"Globally Editable","Глобально редактируемые"
"Attribute Information","Информация об атрибуте"
Properties,Свойства
"Manage Labels","Управление ярлыками"
Visible,Видимый
Searchable,"Включить в поиск по сайту"
Comparable,"Включить в сравнение"
"Delete Selected Group","Удалить выбранную группу"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Вы собираетесь удалить все товары в этом наборе атрибутов. Вы уверены, что хотите это сделать?"
"New Set Name","Новый набор атрибутов"
"Edit Attribute Set '%1'","Редактировать набор атрибутов '%1'"
Empty,Пустой
"Add Attribute","Добавить атрибут"
"Add New Group","Добавить новую группу"
"Add Group","Добавить группу"
"Edit Attribute Set Name","Изменить имя набора атрибутов"
"For internal use","Для внутреннего использования"
"Based On","Основано на"
"Add New Attribute Set","Добавить новый набор атрибутов"
"Add Attribute Set","Добавить набор атрибутов"
"Attribute Sets","Набор атрибутов"
"Close Window","Закрыть окно"
"New Product","Новый товар"
"Save & Edit","Сохранить & Редактировать"
"Save & New","Сохранить и создать"
"Save & Duplicate","Сохранить и дублировать"
"Save & Close","Сохранить и закрыть"
Change,Изменить
"Advanced Inventory","Расширенный инвентарь"
Websites,Веб-сайты
"Products Information","Информация о продуктах"
"Create Category","Создать категорию"
"Category Name","Название категории"
"Parent Category","Родительская категория"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Если нет настраиваемых родительских категорий, используйте родительскую категорию по умолчанию. Вы можете переназначить категорию в любое время в <a href=""%1"" target=""_blank"">Продукты> Категории</a>."
"Price Alert Subscriptions","Оповещения по подписки цен"
"Stock Alert Subscriptions","Оповещения по подписки на склад"
"There are no customers for this alert.","Нет клиентов для этого оповещения."
"Subscribe Date","Дата подписания"
"Last Notified","Последние уведомление"
"Send Count","Отправить счет"
"New Attribute","Новый атрибут"
"Attribute Set","Набор атрибутов"
"Add New Option","Добавить новую опцию"
"Import Options","Параметры импорта"
Import,Импорт
"Add New Row","Добавить новую строку"
"Delete Row","Удалить строку"
"Tier Pricing","Уровень цен"
"Default Price","Цена по умолчанию"
"ALL GROUPS","ВСЕ ГРУППЫ"
"Add Price","Добавить цену"
"Default Values","Значения по умолчанию"
"Related Products","Сопутствующие товары"
Up-sells,"Похожие товары"
Cross-sells,"Перекрёстные продажи"
"Size for %1","Размер для %1"
"Watermark File for %1","Подложка файла для %1"
"Position of Watermark for %1","Позиция водяного знака для %1"
"Name in %1","Имя в %1"
"Change Status","Изменить статус"
"Update Attributes","Обновить атрибуты"
"start typing to search category","начните ввод для поиска категории"
"New Category","Новая категория"
"Add New Images","Добавить новые изображения"
"Inc. Tax","Включая налог"
"Does this have a weight?","Это имеет вес?"
"Notify Low Stock RSS","Уведомлять о низких запасах RSS"
"Low Stock Products","Продукты с низким запасом"
"%1 has reached a quantity of %2.","%1достигло количества %2."
"Go to Home Page","Перейти на главную страницу"
"Subscribe to RSS Feed","Подписаться на RSS канал"
"Products Comparison List","Список сравнения продуктов"
AM,Утра
PM,Вечер
"New Products from %1","Новые товары от %1"
"New Products","Новые товары"
"%1 - Special Products","%1 - Специальные товары"
"Click for price","Нажмите чтобы узнать цену"
"Special Expires On: %1","Особенность истекает: %1"
"Price: %1","Цена: %1"
"Special Price: %1","Специальная цена: %1"
"Special Products","Специальные продукты"
"Manage Catalog Categories","Управление категориями"
"Manage Categories","Управление категориями"
"You deleted the category.","Вы удалили категорию."
"Something went wrong while trying to delete the category.","Что-то пошло не так при попытке удалить категорию."
Categories,Категории
"Category is not available for requested store.","Категория недоступна для запрашиваемого магазина."
"There was a category move error.","Там была ошибка перемещения категории."
"You moved the category.","Вы переместили категорию."
"Attribute ""%1"" is required.","Атрибут ""%1"" является обязательным."
"You saved the category.","Вы сохранили категорию."
"Something went wrong while saving the category.","Что-то пошло не так при сохранении категории."
"Please select products for attributes update.","Пожалуйста, выберите продукты для обновления атрибутов."
"Please make sure to define SKU values for all processed products.","Пожалуйста убедитесь, в определении значения SKU для всех обработанных продуктов."
"A total of %1 record(s) were updated.","В общей сложности обновлено %1 записи(ей)."
"Something went wrong while updating the product(s) attributes.","Что-то пошло не так при обновлении атрибутов товара(ов)."
"Unable to add attribute","Не удается добавить атрибут"
"Please, specify attributes","Пожалуйста, укажите атрибуты"
"Manage Product Attributes","Управление атрибутами товара"
"We can't delete the attribute.","Мы не можем удалить атрибут."
"You deleted the product attribute.","Вы удалили атрибут продукта."
"We can't find an attribute to delete.","Не удалось найти атрибут для удаления."
"This attribute no longer exists.","Этот атрибут больше не существует."
"This attribute cannot be edited.","Этот атрибут нельзя редактировать."
"Edit Product Attribute","Редактировать атрибут товара"
"An attribute set named '%1' already exists.","Набор атрибутов с именем '%1' уже существует."
"Something went wrong while saving the attribute.","При сохранении атрибута что-то пошло не так."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Код атрибута ""%1"" не действителен. Используйте только буквы (a-z), цифры (0-9) или подчеркивание (_) в этом поле, первый символ должен быть буквой."
"We can't update the attribute.","Не удалось обновить атрибут."
"You saved the product attribute.","Вы сохранили атрибут продукта."
"An attribute with this code already exists.","Атрибут с этим кодом уже существует."
"An attribute with the same code (%1) already exists.","Атрибут с тем же кодом (%1) уже существует."
"The value of Admin must be unique.","Значение Admin должно быть уникальным."
"The value of Admin scope can't be empty.","Значение параметра Admin scope не может быть пустым."
"You duplicated the product.","Вы продублировали продукт."
